student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
You could tell if it has the hardest if most of it came off.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,tell hardest came,tell hardest came,came hardest tell
If just the penny could scratch and the nickel could not the penny is harder.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,penny scratch nickel penny harder,penni scratch nickel penni harder,harder nickel penni penni scratch
Whichever one was damaged most was less hard.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,whichever damaged hard,whichev damag hard,damag hard whichev
Rub them against a crystal.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,rub crystal,rub crystal,crystal rub
Which had less scratches.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,scratches,scratch,scratch
If it makes a scratch or a little dent.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,makes scratch little dent,make scratch littl dent,dent littl make scratch
Well she can take the penny and the nickel and rub them together.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,penny nickel rub,penni nickel rub,nickel penni rub
The one that is scratched is softer.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,scratched softer,scratch softer,scratch softer
She could tell which is harder by getting a rock and seeing if the penny or nickel would scratch it. Whichever one does is harder.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,tell harder getting rock seeing penny nickel scratch whichever harder,tell harder get rock see penni nickel scratch whichev harder,get harder harder nickel penni rock scratch see tell whichev
Maybe he should scratch even other then when you are done see if one have scratches.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,maybe scratch scratches,mayb scratch scratch,mayb scratch scratch
It would tell her because she could scratch the penny on the nickel and the nickel on the penny and see which one is scratched.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,tell scratch penny nickel nickel penny scratched,tell scratch penni nickel nickel penni scratch,nickel nickel penni penni scratch scratch tell
"In order to tell which is harder, else would have to see if the penny and nickel leave a mark to see which is harder.",The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,order tell harder penny nickel leave mark harder,order tell harder penni nickel leav mark harder,harder harder leav mark nickel order penni tell
By the one that leave a mark on one. That means that that one is harder.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,leave mark means harder,leav mark mean harder,harder leav mark mean
The one that got scratch each penny or a nickel got scratch.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,got scratch penny nickel got scratch,got scratch penni nickel got scratch,got got nickel penni scratch scratch
She can scratch it and see which one scratch the rock or mineral.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,scratch scratch rock mineral,scratch scratch rock miner,miner rock scratch scratch
If the penny gets scratched the nickel is harder and if the nickel gets scratched then the penny is harder.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,penny gets scratched nickel harder nickel gets scratched penny harder,penni get scratch nickel harder nickel get scratch penni harder,get get harder harder nickel nickel penni penni scratch scratch
The nickel is the hardest because is you scratch it with a penny it will not scratch but the nickel could because it is so much.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,nickel hardest scratch penny scratch nickel,nickel hardest scratch penni scratch nickel,hardest nickel nickel penni scratch scratch
You get a penny or a nickel if one of them scratches the metal it is hard.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,penny nickel scratches metal hard,penni nickel scratch metal hard,hard metal nickel penni scratch
She would know because the one that is scratched is the one that is least hard and the one that is not scratched is the one that is hardest.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,know scratched hard scratched hardest,know scratch hard scratch hardest,hard hardest know scratch scratch
The one that got a scratch is not hard.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,got scratch hard,got scratch hard,got hard scratch
A paperclip is harder.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,paperclip harder,paperclip harder,harder paperclip
The one that is harder will scratch the less harder one.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,harder scratch harder,harder scratch harder,harder harder scratch
I do not know.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,know,know,know
Fire.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,fire,fire,fire
The nickel because it is bigger and it harder.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,nickel bigger harder,nickel bigger harder,bigger harder nickel
By using your hand.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,hand,hand,hand
If it left a scratch.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,left scratch,left scratch,left scratch
I do not know.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,know,know,know
The nickel is the heavier and the penny is the lighter.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,nickel heavier penny lighter,nickel heavier penni lighter,heavier lighter nickel penni
You can rub the penny and the nickel together. The one with the mark and a scratch is the least hardest the one with no mark or scratch is the hardest.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,rub penny nickel mark scratch hardest mark scratch hardest,rub penni nickel mark scratch hardest mark scratch hardest,hardest hardest mark mark nickel penni rub scratch scratch
Because of it he you scratch with a penny.,The harder coin will scratch the other.,0,90,You could tell if it has the hardest if most of it came off.,scratch penny,scratch penni,penni scratch
Rub them together and whichever one has a scratch or a mark the is softer and the one that has nothing on it is harder.,The harder coin will scratch the other.,1,90,You could tell if it has the hardest if most of it came off.,rub whichever scratch mark softer harder,rub whichev scratch mark softer harder,harder mark rub scratch softer whichev
