student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
I will use carbon printing to know.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,use carbon printing know,use carbon print know,carbon know print use
I will know when the dogs are asleep.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,know dogs asleep,know dog asleep,asleep dog know
"They will look exactly the same, same size same pattern.",Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,look exactly size pattern,look exactli size pattern,exactli look pattern size
So you can see if the bags have the same paw.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,bags paw,bag paw,bag paw
Some dogs more cracks on their paws.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,dogs cracks paws,dog crack paw,crack dog paw
I will by looking if the dogs have paw prints.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,looking dogs paw prints,look dog paw print,dog look paw print
Look at microscope.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,look microscope,look microscop,look microscop
Study them both.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,study,studi,studi
If they look the same.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,look,look,look
By looking at the patterns.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,looking patterns,look pattern,look pattern
I tell what is he mean.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,tell mean,tell mean,mean tell
The carbon printings will look the same.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,carbon printings look,carbon print look,carbon look print
It is the different dog and is not the same.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,different dog,differ dog,differ dog
Their paw prints will be the same.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,paw prints,paw print,paw print
"They will both have either arches, loops, or whorls. That is how they will be the same.",Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,arches loops whorls,arch loop whorl,arch loop whorl
By comparing the 2 prints.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,comparing 2 prints,compar 2 print,2 compar print
You look real hard to see that either their toes are separated or they have print on them.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,look real hard toes separated print,look real hard toe separ print,hard look print real separ toe
Identify them with a magnifying glass and see if they are the same.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,identify magnifying glass,identifi magnifi glass,glass identifi magnifi
If you discover if the dogs have the something is a loop arch or a whorl for the dog.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,discover dogs loop arch whorl dog,discov dog loop arch whorl dog,arch discov dog dog loop whorl
"The finger texture, shape.",Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,finger texture shape,finger textur shape,finger shape textur
Maybe they both have arches but not in the same way.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,maybe arches way,mayb arch way,arch mayb way
By telling if it is a whorl a loop or an arch.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,telling whorl loop arch,tell whorl loop arch,arch loop tell whorl
They came from the same kind of dogs.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,came kind dogs,came kind dog,came dog kind
If they are the same dog.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,dog,dog,dog
You can see the designs.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,designs,design,design
You can tell if the 2 dogs' paw prints are the same if it is the same as exactly the same dog.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,tell 2 dogs paw prints exactly dog,tell 2 dog paw print exactli dog,2 dog dog exactli paw print tell
No 2 prints are the same.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,2 prints,2 print,2 print
The dog's name will be on the paper so you know which dog it came from.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,dogs paper know dog came,dog paper know dog came,came dog dog know paper
You will compare the paw prints.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,compare paw prints,compar paw print,compar paw print
They have the same curves and shapes.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,curves shapes,curv shape,curv shape
"If they have the same kind of arch, loop, or whorl.",Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,kind arch loop whorl,kind arch loop whorl,arch kind loop whorl
You would be able to try the print.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,able try print,abl tri print,abl print tri
We cannot tell if they have the same fingerprint we cannot tell if 2 have the same fingerprint.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,tell fingerprint tell 2 fingerprint,tell fingerprint tell 2 fingerprint,2 fingerprint fingerprint tell tell
You could scan both pieces of paper and look at the ridges and grooves in the prints.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,scan pieces paper look ridges grooves prints,scan piec paper look ridg groov print,groov look paper piec print ridg scan
I would look at them to tell.,Compare prints to see if the patterns are the same.,0,53,I will use carbon printing to know.,look tell,look tell,look tell
To put the tape on it and look to see if it is the same type.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,tape look type,tape look type,look tape type
Compare prints to see if the patterns are the same.,Compare prints to see if the patterns are the same.,1,53,I will use carbon printing to know.,compare prints patterns,compar print pattern,compar pattern print
