student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
The cement is heat sink and the wood is heat sink.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,and cement heat heat is is sink sink the the wood,cement heat sink wood heat sink,cement heat heat sink sink wood,cement heat sink wood heat sink,cement heat heat sink sink wood,cement heat sink wood heat sink,cement heat heat sink sink wood
Something that could hold energy.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,could energy hold something that,hold energy,energy hold,hold energi,energi hold,hold energy,energy hold
A heat sink is an object that can attract heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a an attract can heat heat is object sink that,heat sink object attract heat,attract heat heat object sink,heat sink object attract heat,attract heat heat object sink,heat sink object attract heat,attract heat heat object sink
Heat sink is anything that gets or contains heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,anything contains gets heat heat is or sink that,heat sink gets contains heat,contains gets heat heat sink,heat sink get contain heat,contain get heat heat sink,heat sink get contains heat,contains get heat heat sink
It is when the sun absorbs the water from the sand.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,absorbs from is it sand sun the the the water when,sun absorbs water sand,absorbs sand sun water,sun absorb water sand,absorb sand sun water,sun absorbs water sand,absorbs sand sun water
A heat sink is something that traps heat in. Like water it heats up and traps the heat to make boiling water.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a and boiling heat heat heat heats in is it like make sink something that the to traps traps up water water,heat sink traps heat like water heats traps heat boiling water,boiling heat heat heat heats like sink traps traps water water,heat sink trap heat like water heat trap heat boil water,boil heat heat heat heat like sink trap trap water water,heat sink trap heat like water heat trap heat boiling water,boiling heat heat heat heat like sink trap trap water water
A heat sink is a temperature the water heats up very slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a a heat heats is sink slowly temperature the up very water,heat sink temperature water heats slowly,heat heats sink slowly temperature water,heat sink temperatur water heat slowli,heat heat sink slowli temperatur water,heat sink temperature water heat slowly,heat heat sink slowly temperature water
A heat sink heats up slowly and cools down slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a and cools down heat heats sink slowly slowly up,heat sink heats slowly cools slowly,cools heat heats sink slowly slowly,heat sink heat slowli cool slowli,cool heat heat sink slowli slowli,heat sink heat slowly cool slowly,cool heat heat sink slowly slowly
A heat sink is a material that can hold a lot of heats. Heat sink heats up materials.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a a a can heat heat heats heats hold is lot material materials of sink sink that up,heat sink material hold lot heats heat sink heats materials,heat heat heats heats hold lot material materials sink sink,heat sink materi hold lot heat heat sink heat materi,heat heat heat heat hold lot materi materi sink sink,heat sink material hold lot heat heat sink heat material,heat heat heat heat hold lot material material sink sink
A heat sink is water that heats up more slowly and cools down more slowly than earth dry materials.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a and cools down dry earth heat heats is materials more more sink slowly slowly than that up water,heat sink water heats slowly cools slowly earth dry materials,cools dry earth heat heats materials sink slowly slowly water,heat sink water heat slowli cool slowli earth dri materi,cool dri earth heat heat materi sink slowli slowli water,heat sink water heat slowly cool slowly earth dry material,cool dry earth heat heat material sink slowly slowly water
When the temperature in the thermometer goes down or decreases.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,decreases down goes in or temperature the the thermometer when,temperature thermometer goes decreases,decreases goes temperature thermometer,temperatur thermomet goe decreas,decreas goe temperatur thermomet,temperature thermometer go decrease,decrease go temperature thermometer
Something that absorbs heat and loses heat slow like water.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,absorbs and heat heat like loses slow something that water,absorbs heat loses heat slow like water,absorbs heat heat like loses slow water,absorb heat lose heat slow like water,absorb heat heat like lose slow water,absorbs heat loses heat slow like water,absorbs heat heat like loses slow water
It is something like dry soil.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,dry is it like soil something,like dry soil,dry like soil,like dri soil,dri like soil,like dry soil,dry like soil
It is an earth material that takes energy and releases it slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,an and earth energy is it it material releases slowly takes that,earth material takes energy releases slowly,earth energy material releases slowly takes,earth materi take energi releas slowli,earth energi materi releas slowli take,earth material take energy release slowly,earth energy material release slowly take
It is an earth material that absorbs energy slowly and releases it slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,absorbs an and earth energy is it it material releases slowly slowly that,earth material absorbs energy slowly releases slowly,absorbs earth energy material releases slowly slowly,earth materi absorb energi slowli releas slowli,absorb earth energi materi releas slowli slowli,earth material absorbs energy slowly release slowly,absorbs earth energy material release slowly slowly
A heat sink is an earth material that absorbs energy slowly and releases it slowly.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a absorbs an and earth energy heat is it material releases sink slowly slowly that,heat sink earth material absorbs energy slowly releases slowly,absorbs earth energy heat material releases sink slowly slowly,heat sink earth materi absorb energi slowli releas slowli,absorb earth energi heat materi releas sink slowli slowli,heat sink earth material absorbs energy slowly release slowly,absorbs earth energy heat material release sink slowly slowly
It is a material that decreases heat such as water.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a as decreases heat is it material such that water,material decreases heat water,decreases heat material water,materi decreas heat water,decreas heat materi water,material decrease heat water,decrease heat material water
When the temperature drops.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,drops temperature the when,temperature drops,drops temperature,temperatur drop,drop temperatur,temperature drop,drop temperature
When the heat starts to go down.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,down go heat starts the to when,heat starts,heat starts,heat start,heat start,heat start,heat start
It is a material that may lower heat.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a heat is it lower material may that,material lower heat,heat lower material,materi lower heat,heat lower materi,material lower heat,heat lower material
When the temperature drops.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,drops temperature the when,temperature drops,drops temperature,temperatur drop,drop temperatur,temperature drop,drop temperature
A heat sink is something that absorbs sunlight quickly. Water is the best heat sink.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a absorbs best heat heat is is quickly sink sink something sunlight that the water,heat sink absorbs sunlight quickly water best heat sink,absorbs best heat heat quickly sink sink sunlight water,heat sink absorb sunlight quickli water best heat sink,absorb best heat heat quickli sink sink sunlight water,heat sink absorbs sunlight quickly water best heat sink,absorbs best heat heat quickly sink sink sunlight water
Heat sink is when the temperature drops.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,drops heat is sink temperature the when,heat sink temperature drops,drops heat sink temperature,heat sink temperatur drop,drop heat sink temperatur,heat sink temperature drop,drop heat sink temperature
A heat sink is when a temperature goes up just a little or down a little.,A heat sink is any material that absorbs (a lot of) heat.,0,96,The cement is heat sink and the wood is heat sink.,a a a a down goes heat is just little little or sink temperature up when,heat sink temperature goes little little,goes heat little little sink temperature,heat sink temperatur goe littl littl,goe heat littl littl sink temperatur,heat sink temperature go little little,go heat little little sink temperature
A heat sink is material that takes in more heat.,A heat sink is any material that absorbs (a lot of) heat.,1,96,The cement is heat sink and the wood is heat sink.,a heat heat in is material more sink takes that,heat sink material takes heat,heat heat material sink takes,heat sink materi take heat,heat heat materi sink take,heat sink material take heat,heat heat material sink take
