student_answer,teacher_answer,label,question_id
It will not make loud pluck like the other strings.,"When the string was shorter, the pitch was higher.",0,66
If it was shorter it would have a low sound.,"When the string was shorter, the pitch was higher.",0,66
When you pluck the first string it makes a low pitch.,"When the string was shorter, the pitch was higher.",0,66
At first it would make noise slower than the shorter one because it would be shorter noise.,"When the string was shorter, the pitch was higher.",0,66
It was a higher pitch!,"When the string was shorter, the pitch was higher.",1,66
Which side has more string is a lower pitch. Whichever side has more string it has a lower pitch.,"When the string was shorter, the pitch was higher.",1,66
Because when you give it less room to vibrate it makes a higher pitch.,"When the string was shorter, the pitch was higher.",1,66
It got a higher pitch.,"When the string was shorter, the pitch was higher.",1,66
It is a high pitch.,"When the string was shorter, the pitch was higher.",1,66
A bigger string makes a lower pitch and a little string would have a high pitch.,"When the string was shorter, the pitch was higher.",1,66
It would make a high pitch.,"When the string was shorter, the pitch was higher.",1,66
It is going to be higher.,"When the string was shorter, the pitch was higher.",1,66
When it vibrates it goes so fast but it hits the string.,"When the string was shorter, the pitch was higher.",0,66
The pitch would be higher because the vibrations do not travel as long.,"When the string was shorter, the pitch was higher.",1,66
It was tighter so it made a higher pitch.,"When the string was shorter, the pitch was higher.",1,66
When it is shortened the string is not that long so it makes a different sound.,"When the string was shorter, the pitch was higher.",0,66
It gets higher when it is short and lower when it is longer.,"When the string was shorter, the pitch was higher.",1,66
It got shorter and shorter so it was higher pitch.,"When the string was shorter, the pitch was higher.",1,66
The sound was lower. It had more room to vibrate.,"When the string was shorter, the pitch was higher.",0,66
It would be a High pitch.,"When the string was shorter, the pitch was higher.",1,66
The string made a low pitch.,"When the string was shorter, the pitch was higher.",0,66
When kate shortened the string that string would have a higher pitch.,"When the string was shorter, the pitch was higher.",1,66
It got higher.,"When the string was shorter, the pitch was higher.",1,66
The sound had a higher pitch because it had faster vibrations.,"When the string was shorter, the pitch was higher.",1,66
I think the string would be tighter.,"When the string was shorter, the pitch was higher.",0,66
It turns really really loud.,"When the string was shorter, the pitch was higher.",0,66
It sounded high.,"When the string was shorter, the pitch was higher.",1,66
The shorter the the higher the pitch because it less to travel through.,"When the string was shorter, the pitch was higher.",1,66
And the shorter the string also the higher pitch it makes.,"When the string was shorter, the pitch was higher.",1,66
The shorter the string the higher the sound.,"When the string was shorter, the pitch was higher.",1,66
When you make the string small the volume is louder.,"When the string was shorter, the pitch was higher.",0,66
It will have a lower sound than when you let go.,"When the string was shorter, the pitch was higher.",0,66
The sound was lower.,"When the string was shorter, the pitch was higher.",0,66
When you pull your string it makes a sound.,"When the string was shorter, the pitch was higher.",0,66
IT High When it Shorter.,"When the string was shorter, the pitch was higher.",1,66
"When the string was shorter, the pitch was higher.","When the string was shorter, the pitch was higher.",1,66
