student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
Carbon Dioxide carbon dioxide.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,carbon carbon dioxide dioxide,carbon dioxide carbon dioxide,carbon carbon dioxide dioxide,carbon dioxid carbon dioxid,carbon carbon dioxid dioxid,carbon dioxide carbon dioxide,carbon carbon dioxide dioxide
There is sugar in the mixture.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,in is mixture sugar the there,sugar mixture,mixture sugar,sugar mixtur,mixtur sugar,sugar mixture,mixture sugar
The chemical reaction indicates that it has a lot of sugar in it.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,a chemical has in indicates it it lot of reaction sugar that the,chemical reaction indicates lot sugar,chemical indicates lot reaction sugar,chemic reaction indic lot sugar,chemic indic lot reaction sugar,chemical reaction indicates lot sugar,chemical indicates lot reaction sugar
It indicates that there is acid.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,acid indicates is it that there,indicates acid,acid indicates,indic acid,acid indic,indicates acid,acid indicates
The chemical reaction indicates sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,chemical indicates reaction sugar the,chemical reaction indicates sugar,chemical indicates reaction sugar,chemic reaction indic sugar,chemic indic reaction sugar,chemical reaction indicates sugar,chemical indicates reaction sugar
The food has sugar in it.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food has in it sugar the,food sugar,food sugar,food sugar,food sugar,food sugar,food sugar
"Chemical reaction means it has what you are looking for, sugar, acid, fat.",The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,acid are chemical fat for has it looking means reaction sugar what you,chemical reaction means looking sugar acid fat,acid chemical fat looking means reaction sugar,chemic reaction mean look sugar acid fat,acid chemic fat look mean reaction sugar,chemical reaction mean looking sugar acid fat,acid chemical fat looking mean reaction sugar
That it contains sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,contains it sugar that,contains sugar,contains sugar,contain sugar,contain sugar,contains sugar,contains sugar
That the food she tested did contain sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,contain did food she sugar tested that the,food tested contain sugar,contain food sugar tested,food test contain sugar,contain food sugar test,food tested contain sugar,contain food sugar tested
This chemical indicates sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,chemical indicates sugar this,chemical indicates sugar,chemical indicates sugar,chemic indic sugar,chemic indic sugar,chemical indicates sugar,chemical indicates sugar
It had acid.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,acid had it,acid,acid,acid,acid,acid,acid
It indicates that sugar is in the food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in indicates is it sugar that the,indicates sugar food,food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar
It indicates that there is sugar in that food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in indicates is it sugar that that there,indicates sugar food,food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar
It indicates that sugar is in the food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in indicates is it sugar that the,indicates sugar food,food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar
This means that there was acid and or sugar in the product.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,acid and in means or product sugar that the there this was,means acid sugar product,acid means product sugar,mean acid sugar product,acid mean product sugar,mean acid sugar product,acid mean product sugar
It indicates that it has food in it.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,food has in indicates it it it that,indicates food,food indicates,indic food,food indic,indicates food,food indicates
It indicates there is sugar in the food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in indicates is it sugar the there,indicates sugar food,food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar
It indicates that there is sugar in the food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in indicates is it sugar that the there,indicates sugar food,food indicates sugar,indic sugar food,food indic sugar,indicates sugar food,food indicates sugar
It indicates a sugar test to see how much sugar there is.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,a how indicates is it much see sugar sugar test there to,indicates sugar test sugar,indicates sugar sugar test,indic sugar test sugar,indic sugar sugar test,indicates sugar test sugar,indicates sugar sugar test
It probably has a lot of acid.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,a acid has it lot of probably,probably lot acid,acid lot probably,probabl lot acid,acid lot probabl,probably lot acid,acid lot probably
It indicates carbon dioxide.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,carbon dioxide indicates it,indicates carbon dioxide,carbon dioxide indicates,indic carbon dioxid,carbon dioxid indic,indicates carbon dioxide,carbon dioxide indicates
That is has a lot of acid and vitamin C.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,a acid and c has is lot of that vitamin,lot acid vitamin c,acid c lot vitamin,lot acid vitamin c,acid c lot vitamin,lot acid vitamin c,acid c lot vitamin
That there is sugar in the food.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,food in is sugar that the there,sugar food,food sugar,sugar food,food sugar,sugar food,food sugar
That it has a lot of acid and sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,a acid and has it lot of sugar that,lot acid sugar,acid lot sugar,lot acid sugar,acid lot sugar,lot acid sugar,acid lot sugar
The reaction indicates that it has carbon dioxide.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,carbon dioxide has indicates it reaction that the,reaction indicates carbon dioxide,carbon dioxide indicates reaction,reaction indic carbon dioxid,carbon dioxid indic reaction,reaction indicates carbon dioxide,carbon dioxide indicates reaction
The chemical reaction indicates sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,chemical indicates reaction sugar the,chemical reaction indicates sugar,chemical indicates reaction sugar,chemic reaction indic sugar,chemic indic reaction sugar,chemical reaction indicates sugar,chemical indicates reaction sugar
That there is acid present yeast indicates sugar.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,acid indicates is present sugar that there yeast,acid present yeast indicates sugar,acid indicates present sugar yeast,acid present yeast indic sugar,acid indic present sugar yeast,acid present yeast indicates sugar,acid indicates present sugar yeast
That the food had sugar in it and carbon dioxide.,The food contains sugar.,1,14,Carbon Dioxide carbon dioxide.,and carbon dioxide food had in it sugar that the,food sugar carbon dioxide,carbon dioxide food sugar,food sugar carbon dioxid,carbon dioxid food sugar,food sugar carbon dioxide,carbon dioxide food sugar
It indicates that the it has acid in it.,The food contains sugar.,0,14,Carbon Dioxide carbon dioxide.,acid has in indicates it it it that the,indicates acid,acid indicates,indic acid,acid indic,indicates acid,acid indicates
