student_answer,teacher_answer,label,question_id,q_stopwords,q_stemmed,q_stem_ordered
By letting it sit in a dish for a day.,"The water was evaporated, leaving the salt.",0,25,letting sit dish day,let sit dish day,day dish let sit
Let the water evaporate and the salt is left behind.,"The water was evaporated, leaving the salt.",1,25,let water evaporate salt left,let water evapor salt left,evapor left let salt water
The water evaporated and left salt crystals.,"The water was evaporated, leaving the salt.",1,25,water evaporated left salt crystals,water evapor left salt crystal,crystal evapor left salt water
I saw a pinkish grayish color that was blocking the water.,"The water was evaporated, leaving the salt.",0,25,saw pinkish grayish color blocking water,saw pinkish grayish color block water,block color grayish pinkish saw water
You have to slowly tip the vial for only the water to go.,"The water was evaporated, leaving the salt.",0,25,slowly tip vial water,slowli tip vial water,slowli tip vial water
"By pouring the water and salt into the thing, and letting the water evaporate.","The water was evaporated, leaving the salt.",1,25,pouring water salt thing letting water evaporate,pour water salt thing let water evapor,evapor let pour salt thing water water
By slowly pouring it in a tray.,"The water was evaporated, leaving the salt.",0,25,slowly pouring tray,slowli pour tray,pour slowli tray
The water evaporated so there was only salt left.,"The water was evaporated, leaving the salt.",1,25,water evaporated salt left,water evapor salt left,evapor left salt water
We put the water with the salt in it and put it outside for the water to evaporate.,"The water was evaporated, leaving the salt.",1,25,water salt outside water evaporate,water salt outsid water evapor,evapor outsid salt water water
I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,"The water was evaporated, leaving the salt.",0,25,separated salt water salt rocks water,separ salt water salt rock water,rock salt salt separ water water
Because you can see salt in water.,"The water was evaporated, leaving the salt.",0,25,salt water,salt water,salt water
I let the water evaporate.,"The water was evaporated, leaving the salt.",1,25,let water evaporate,let water evapor,evapor let water
The water dried up and left the salt.,"The water was evaporated, leaving the salt.",1,25,water dried left salt,water dri left salt,dri left salt water
We let the water evaporate.,"The water was evaporated, leaving the salt.",1,25,let water evaporate,let water evapor,evapor let water
The water dried up.,"The water was evaporated, leaving the salt.",1,25,water dried,water dri,dri water
You just get water and the smashed mock rock and put the smashed rock and water together.,"The water was evaporated, leaving the salt.",0,25,water smashed mock rock smashed rock water,water smash mock rock smash rock water,mock rock rock smash smash water water
"You put the water, a little bit, in a cup and leave it overnight.","The water was evaporated, leaving the salt.",0,25,water little bit cup leave overnight,water littl bit cup leav overnight,bit cup leav littl overnight water
We evaporated the salt from the water because the water evaporated and separated.,"The water was evaporated, leaving the salt.",1,25,evaporated salt water water evaporated separated,evapor salt water water evapor separ,evapor evapor salt separ water water
We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,"The water was evaporated, leaving the salt.",1,25,water salt petri dish water evaporated salt crystals,water salt petri dish water evapor salt crystal,crystal dish evapor petri salt salt water water
We poured the salt into a Petri dish and poured the water out.,"The water was evaporated, leaving the salt.",0,25,poured salt petri dish poured water,pour salt petri dish pour water,dish petri pour pour salt water
By the Petri dish.,"The water was evaporated, leaving the salt.",0,25,petri dish,petri dish,dish petri
By putting water in a Petri dish and letting the water evaporate.,"The water was evaporated, leaving the salt.",1,25,putting water petri dish letting water evaporate,put water petri dish let water evapor,dish evapor let petri put water water
Poured the top of the vial out.,"The water was evaporated, leaving the salt.",0,25,poured vial,pour vial,pour vial
The salt dissolved and the water evaporated and the salt went to the bottom.,"The water was evaporated, leaving the salt.",1,25,salt dissolved water evaporated salt went,salt dissolv water evapor salt went,dissolv evapor salt salt water went
We put it in a evaporation dish and the water evaporated.,"The water was evaporated, leaving the salt.",1,25,evaporation dish water evaporated,evapor dish water evapor,dish evapor evapor water
I put it on the evaporating dish.,"The water was evaporated, leaving the salt.",1,25,evaporating dish,evapor dish,dish evapor
By pouring the water into the salt.,"The water was evaporated, leaving the salt.",0,25,pouring water salt,pour water salt,pour salt water
We poured the water out of the bottle.,"The water was evaporated, leaving the salt.",0,25,poured water bottle,pour water bottl,bottl pour water
Letting the water evaporate.,"The water was evaporated, leaving the salt.",1,25,letting water evaporate,let water evapor,evapor let water
Put it on a dish and then the water gets in the air and the salt stays.,"The water was evaporated, leaving the salt.",1,25,dish water gets air salt stays,dish water get air salt stay,air dish get salt stay water
I do not know.,"The water was evaporated, leaving the salt.",0,25,know,know,know
The salt separated with the water because the salt was heavier but the water was not even heavy.,"The water was evaporated, leaving the salt.",0,25,salt separated water salt heavier water heavy,salt separ water salt heavier water heavi,heavi heavier salt salt separ water water
We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,"The water was evaporated, leaving the salt.",1,25,water clear cup let sit water evaporated salt stayed,water clear cup let sit water evapor salt stay,clear cup evapor let salt sit stay water water
I put some water in a dish and let the water evaporate so the salt would stay.,"The water was evaporated, leaving the salt.",1,25,water dish let water evaporate salt stay,water dish let water evapor salt stay,dish evapor let salt stay water water
Evaporate.,"The water was evaporated, leaving the salt.",0,25,evaporate,evapor,evapor
The crystals were salt.,"The water was evaporated, leaving the salt.",0,25,crystals salt,crystal salt,crystal salt
"The water was evaporated, leaving the salt.","The water was evaporated, leaving the salt.",1,25,water evaporated leaving salt,water evapor leav salt,evapor leav salt water
