student_answer,teacher_answer,label,question_id,q_answer,q_answer_ordered,q_stopwords,q_stopwords_ordered,q_stemmed,q_stem_ordered,q_lemm,q_lemm_ordered
Because when you use a mixture and as it dissolve it is a solution.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a a and as because dissolve is it it mixture solution use when you,use mixture dissolve solution,dissolve mixture solution use,use mixtur dissolv solut,dissolv mixtur solut use,use mixture dissolve solution,dissolve mixture solution use
Maybe it could change to him and have something die.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,and change could die have him it maybe something to,maybe change die,change die maybe,mayb chang die,chang die mayb,maybe change die,change die maybe
I think jam is mixture.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,i is jam mixture think,think jam mixture,jam mixture think,think jam mixtur,jam mixtur think,think jam mixture,jam mixture think
Because they dissolved.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,because dissolved they,dissolved,dissolved,dissolv,dissolv,dissolved,dissolved
When the mixture is clear and no material is on the bottom.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,and bottom clear is is material mixture no on the the when,mixture clear material,clear material mixture,mixtur clear materi,clear materi mixtur,mixture clear material,clear material mixture
The evidence Jim has is the material on the bottom and the solid because a solution has 2 or more things combined.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,2 a and because bottom combined evidence has has is jim material more on or solid solution the the the the things,evidence jim material solid solution 2 things combined,2 combined evidence jim material solid solution things,evid jim materi solid solut 2 thing combin,2 combin evid jim materi solid solut thing,evidence jim material solid solution 2 thing combined,2 combined evidence jim material solid solution thing
That the water is clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,clear is that the water,water clear,clear water,water clear,clear water,water clear,clear water
My evidence is a solution can be clear or evaporated by heat and so all of them are clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a all and are be by can clear clear evaporated evidence heat is my of or so solution them,evidence solution clear evaporated heat clear,clear clear evaporated evidence heat solution,evid solut clear evapor heat clear,clear clear evapor evid heat solut,evidence solution clear evaporated heat clear,clear clear evaporated evidence heat solution
The evidence he has is that it is clear and nothing on bottom to be a solution.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a and be bottom clear evidence has he is is it nothing on solution that the to,evidence clear solution,clear evidence solution,evid clear solut,clear evid solut,evidence clear solution,clear evidence solution
Because it was clear and nothing on the bottom.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,and because bottom clear it nothing on the was,clear,clear,clear,clear,clear,clear
He put the solid in the water and the solid dissolved into the water.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,and dissolved he in into put solid solid the the the the water water,solid water solid dissolved water,dissolved solid solid water water,solid water solid dissolv water,dissolv solid solid water water,solid water solid dissolved water,dissolved solid solid water water
"Mixtures one, 3, and possibly 2 are clear a sign that the material has dissolved and made a solution.",The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,2 3 a a and and are clear dissolved has made material mixtures one possibly sign solution that the,mixtures 3 possibly 2 clear sign material dissolved solution,2 3 clear dissolved material mixtures possibly sign solution,mixtur 3 possibl 2 clear sign materi dissolv solut,2 3 clear dissolv materi mixtur possibl sign solut,mixture 3 possibly 2 clear sign material dissolved solution,2 3 clear dissolved material mixture possibly sign solution
Mixtures one and 2 are solutions because they are clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,2 and are are because clear mixtures one solutions they,mixtures 2 solutions clear,2 clear mixtures solutions,mixtur 2 solut clear,2 clear mixtur solut,mixture 2 solution clear,2 clear mixture solution
It has to be clear with nothing on bottom.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,be bottom clear has it nothing on to with,clear,clear,clear,clear,clear,clear
When the solid material is disappeared.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,disappeared is material solid the when,solid material disappeared,disappeared material solid,solid materi disappear,disappear materi solid,solid material disappeared,disappeared material solid
I know it is a solid because it has stuff in the but mine.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,a because but has i in is it it know mine solid stuff the,know solid stuff,know solid stuff,know solid stuff,know solid stuff,know solid stuff,know solid stuff
That there is undissolved particle at the bottom.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,at bottom is particle that the there undissolved,undissolved particle,particle undissolved,undissolv particl,particl undissolv,undissolved particle,particle undissolved
Mixtures 4 and 5 are evidence.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,4 5 and are evidence mixtures,mixtures 4 5 evidence,4 5 evidence mixtures,mixtur 4 5 evid,4 5 evid mixtur,mixture 4 5 evidence,4 5 evidence mixture
Because a solution is clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a because clear is solution,solution clear,clear solution,solut clear,clear solut,solution clear,clear solution
He has that he put a solute in the solvent and it came out clear and nothing on bottom.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a and and bottom came clear has he he in it nothing on out put solute solvent that the,solute solvent came clear,came clear solute solvent,solut solvent came clear,came clear solut solvent,solute solvent came clear,came clear solute solvent
His evidence is the mixture turned clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,clear evidence his is mixture the turned,evidence mixture turned clear,clear evidence mixture turned,evid mixtur turn clear,clear evid mixtur turn,evidence mixture turned clear,clear evidence mixture turned
If the material dissolved it is a solution.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a dissolved if is it material solution the,material dissolved solution,dissolved material solution,materi dissolv solut,dissolv materi solut,material dissolved solution,dissolved material solution
Because the solid dissolve.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,because dissolve solid the,solid dissolve,dissolve solid,solid dissolv,dissolv solid,solid dissolve,dissolve solid
The evidence is the water cannot take any more ingredients.,The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,any cannot evidence ingredients is more take the the water,evidence water ingredients,evidence ingredients water,evid water ingredi,evid ingredi water,evidence water ingredient,evidence ingredient water
Because there is nothing at the bottom.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,at because bottom is nothing the there,,,,,,
That if it does have material at the bottom that it is not.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,at bottom does have if is it it material not that that the,material,material,materi,materi,material,material
Because the solid dissolve.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,because dissolve solid the,solid dissolve,dissolve solid,solid dissolv,dissolv solid,solid dissolve,dissolve solid
There is material on the bottom and that means it is saturated solution.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,and bottom is is it material means on saturated solution that the there,material means saturated solution,material means saturated solution,materi mean satur solut,materi mean satur solut,material mean saturated solution,material mean saturated solution
Because some of them have a dissolved solid.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,a because dissolved have of solid some them,dissolved solid,dissolved solid,dissolv solid,dissolv solid,dissolved solid,dissolved solid
The mixtures are clear.,The mixtures are all clear.,1,126,Because when you use a mixture and as it dissolve it is a solution.,are clear mixtures the,mixtures clear,clear mixtures,mixtur clear,clear mixtur,mixture clear,clear mixture
"How much water is in it, and how much spoons of solid are in it.",The mixtures are all clear.,0,126,Because when you use a mixture and as it dissolve it is a solution.,and are how how in in is it it much much of solid spoons water,water spoons solid,solid spoons water,water spoon solid,solid spoon water,water spoon solid,solid spoon water
