student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
If it is iron it will stick if it is aluminum it will not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron stick aluminum stick,iron stick aluminum stick,aluminum iron stick stick
It will be made of iron if it sticks to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron sticks magnet,iron stick magnet,iron magnet stick
The magnet will stick to iron not to aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,magnet stick iron aluminum,magnet stick iron aluminum,aluminum iron magnet stick
If it is iron it will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron stick,iron stick,iron stick
I will stick or not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,stick stick,stick stick,stick stick
It will stick to iron.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,stick iron,stick iron,iron stick
By testing it with a magnet and it will stick if it is iron.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,testing magnet stick iron,test magnet stick iron,iron magnet stick test
If the key sticks it is made of iron if it does not it is made of aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,key sticks iron aluminum,key stick iron aluminum,aluminum iron key stick
If it is iron the key will stick if it is aluminum it would not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron key stick aluminum stick,iron key stick aluminum stick,aluminum iron key stick stick
Aluminum will stick to a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,aluminum stick magnet,aluminum stick magnet,aluminum magnet stick
If it were iron it would stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron stick,iron stick,iron stick
You could get something with magnitite in it and see if it sticks if it sticks you know it is iron if it does not stick it is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,magnitite sticks sticks know iron stick aluminum,magnitit stick stick know iron stick aluminum,aluminum iron know magnitit stick stick stick
Test it on a magnet.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,test magnet,test magnet,magnet test
The magnet will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,magnet stick,magnet stick,magnet stick
The key will stick if it is iron but if it is aluminum it will not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,key stick iron aluminum,key stick iron aluminum,aluminum iron key stick
You will put a magnet on it and see if it sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,magnet sticks,magnet stick,magnet stick
If it is iron it will stick if it is aluminum it will not stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,iron stick aluminum stick,iron stick aluminum stick,aluminum iron stick stick
If the key sticks.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,key sticks,key stick,key stick
The magnet will stick.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,magnet stick,magnet stick,magnet stick
If the magnet attracts or not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,magnet attracts,magnet attract,attract magnet
You will know because the magnet will stick or not.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,know magnet stick,know magnet stick,know magnet stick
If the key is iron it will attract if it is not it will repel.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,key iron attract repel,key iron attract repel,attract iron key repel
By sticking the key to a magnet and try it out.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,sticking key magnet try,stick key magnet tri,key magnet stick tri
If it attracts or drops when you let it go.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,attracts drops let,attract drop let,attract drop let
If the key attracts is iron. If it repels is aluminum.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",1,51,If it is iron it will stick if it is aluminum it will not stick.,key attracts iron repels aluminum,key attract iron repel aluminum,aluminum attract iron key repel
You would find the answer.,"If the key sticks, the key is iron; if the key does not stick the key is aluminum.",0,51,If it is iron it will stick if it is aluminum it will not stick.,find answer,find answer,answer find
