student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
A. Because it is larger. B is very skinny.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,larger b skinny,larger b skinni,b larger skinni
A. Box A got hotter because the temperature in the graph helped me decide.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box got hotter temperature graph helped decide,box got hotter temperatur graph help decid,box decid got graph help hotter temperatur
A. Her box got the hottest so it had to be A. It had to be A because it was laying down and the sun could get in it more faster than David's.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box got hottest laying sun faster davids,box got hottest lay sun faster david,box david faster got hottest lay sun
A. The results help me find this out.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,results help find,result help find,find help result
A. Julie's box had more black so the box was hotter because the more black the more the heat the black absorb. So that is why I chose Julie's because in my graph hers was the highest.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,julies box black box hotter black heat black absorb chose julies graph highest,juli box black box hotter black heat black absorb chose juli graph highest,absorb black black black box box chose graph heat highest hotter juli juli
A. I looked at the chart.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,looked chart,look chart,chart look
A. It has higher results and her box is long and of course skinny.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,higher results box long course skinny,higher result box long cours skinni,box cours higher long result skinni
A. Solar water heater A was painted more black so that one got hotter.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,solar water heater painted black got hotter,solar water heater paint black got hotter,black got heater hotter paint solar water
Both. They are both have the same centimeters but A is down and B is up so A and B are the same but different.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,0,62,A. Because it is larger. B is very skinny.,centimeters b b different,centimet b b differ,b b centimet differ
A. The box had a bigger black spot to hold and attract more heat.,A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.,1,62,A. Because it is larger. B is very skinny.,box bigger black spot hold attract heat,box bigger black spot hold attract heat,attract bigger black box heat hold spot
